cell,nCounts,nFeatures
"R1.95,R2.76,R3.05,P1.03",5633,5309
"R1.69,R2.15,R3.31,P1.03",8594,7737
"R1.29,R2.04,R3.19,P1.02",2994,2897
"R1.16,R2.81,R3.43,P1.03",5095,4854
"R1.31,R2.38,R3.04,P1.02",2929,2834
"R1.44,R2.87,R3.88,P1.02",2362,2316
"R1.09,R2.03,R3.73,P1.03",3302,3171
"R1.38,R2.70,R3.85,P1.03",3675,3539
"R1.53,R2.11,R3.29,P1.02",1142,1135
"R1.11,R2.48,R3.55,P1.02",1533,1515
"R1.11,R2.21,R3.32,P1.03",1677,1653
"R1.36,R2.12,R3.29,P1.02",3066,2969
"R1.64,R2.43,R3.50,P1.02",4447,4190
"R1.74,R2.41,R3.07,P1.02",927,920
"R1.09,R2.76,R3.54,P1.03",4082,3896
"R1.39,R2.05,R3.56,P1.02",5150,4912
"R1.62,R2.74,R3.90,P1.03",2216,2175
"R1.15,R2.36,R3.01,P1.03",3920,3684
"R1.28,R2.26,R3.32,P1.03",796,790
"R1.33,R2.10,R3.38,P1.03",5643,5310
"R1.81,R2.63,R3.94,P1.03",2011,1986
"R1.33,R2.31,R3.49,P1.03",10132,9190
"R1.58,R2.07,R3.08,P1.02",878,868
"R1.89,R2.05,R3.72,P1.02",4257,4048
"R1.68,R2.62,R3.09,P1.02",2991,2922
"R1.53,R2.51,R3.51,P1.03",4464,4245
"R1.88,R2.43,R3.18,P1.03",562,552
"R1.02,R2.06,R3.01,P1.03",1322,1309
"R1.23,R2.57,R3.26,P1.03",18224,15470
"R1.27,R2.48,R3.13,P1.03",7071,6544
"R1.84,R2.07,R3.11,P1.03",7190,6641
"R1.28,R2.08,R3.35,P1.03",4407,4267
"R1.90,R2.04,R3.03,P1.03",36053,26935
"R1.43,R2.56,R3.64,P1.02",3255,3124
"R1.22,R2.22,R3.32,P1.03",12396,10967
"R1.32,R2.70,R3.04,P1.02",2347,2301
"R1.70,R2.65,R3.22,P1.02",2522,2436
"R1.78,R2.44,R3.86,P1.03",5493,5160
"R1.27,R2.70,R3.35,P1.03",2591,2501
"R1.51,R2.16,R3.07,P1.03",10895,9737
"R1.35,R2.82,R3.87,P1.02",4570,4368
"R1.91,R2.81,R3.72,P1.03",3060,2969
"R1.27,R2.30,R3.09,P1.03",1810,1774
"R1.02,R2.45,R3.48,P1.03",4339,4104
"R1.20,R2.30,R3.92,P1.03",3117,3005
"R1.19,R2.24,R3.56,P1.03",14793,12908
"R1.33,R2.72,R3.62,P1.03",8574,7866
"R1.37,R2.36,R3.52,P1.03",1305,1295
"R1.62,R2.32,R3.91,P1.02",2573,2482
"R1.24,R2.13,R3.85,P1.03",2262,2212
"R1.33,R2.96,R3.37,P1.03",3131,2998
"R1.37,R2.28,R3.17,P1.03",1853,1808
"R1.94,R2.90,R3.78,P1.02",1789,1760
"R1.55,R2.37,R3.70,P1.02",3207,3111
"R1.09,R2.03,R3.77,P1.03",6109,5844
"R1.15,R2.25,R3.75,P1.03",7754,7303
"R1.01,R2.28,R3.16,P1.03",2903,2808
"R1.35,R2.29,R3.68,P1.02",1773,1738
"R1.48,R2.44,R3.58,P1.03",3472,3358
"R1.53,R2.01,R3.75,P1.02",9948,8937
"R1.17,R2.19,R3.44,P1.03",2002,1954
"R1.05,R2.17,R3.22,P1.03",13347,11642
"R1.56,R2.05,R3.61,P1.02",2228,2176
"R1.52,R2.38,R3.89,P1.02",2209,2159
"R1.08,R2.58,R3.46,P1.02",5595,5322
"R1.29,R2.55,R3.04,P1.02",2552,2501
"R1.03,R2.31,R3.27,P1.03",5252,4959
"R1.44,R2.77,R3.74,P1.03",3011,2919
"R1.45,R2.46,R3.28,P1.03",5935,5591
"R1.56,R2.25,R3.11,P1.03",2588,2499
"R1.06,R2.41,R3.31,P1.03",1935,1898
"R1.76,R2.19,R3.19,P1.03",6959,6412
"R1.44,R2.73,R3.28,P1.02",2406,2357
"R1.06,R2.39,R3.42,P1.03",3503,3286
"R1.70,R2.74,R3.72,P1.02",3866,3705
"R1.13,R2.39,R3.75,P1.03",2235,2191
"R1.95,R2.27,R3.22,P1.03",2371,2318
"R1.55,R2.18,R3.40,P1.02",7581,7038
"R1.13,R2.94,R3.55,P1.03",2569,2503
"R1.85,R2.39,R3.79,P1.03",9204,8392
"R1.34,R2.55,R3.21,P1.03",5411,5108
"R1.10,R2.01,R3.47,P1.02",7687,7131
"R1.76,R2.29,R3.10,P1.03",3556,3415
"R1.18,R2.17,R3.06,P1.03",223,221
"R1.85,R2.80,R3.12,P1.02",1684,1662
"R1.08,R2.53,R3.86,P1.03",4616,4403
"R1.88,R2.54,R3.57,P1.02",2610,2528
"R1.29,R2.23,R3.03,P1.03",3042,2952
"R1.23,R2.38,R3.06,P1.03",2409,2351
"R1.25,R2.17,R3.01,P1.03",931,928
"R1.50,R2.49,R3.32,P1.03",2471,2397
"R1.93,R2.46,R3.76,P1.02",4371,4142
"R1.57,R2.85,R3.67,P1.03",4215,4061
"R1.14,R2.04,R3.44,P1.02",1365,1355
"R1.23,R2.32,R3.09,P1.03",7846,7250
"R1.33,R2.14,R3.02,P1.03",3458,3333
"R1.69,R2.49,R3.04,P1.03",1930,1883
"R1.87,R2.28,R3.11,P1.03",5101,4802
"R1.35,R2.17,R3.92,P1.02",4464,4222
"R1.10,R2.68,R3.34,P1.03",5633,5268
"R1.31,R2.17,R3.46,P1.03",3019,2915
"R1.69,R2.26,R3.88,P1.03",7448,6952
"R1.81,R2.92,R3.19,P1.03",2274,2214
"R1.68,R2.05,R3.59,P1.02",4436,4244
"R1.68,R2.59,R3.17,P1.02",12112,10725
"R1.42,R2.02,R3.47,P1.03",2344,2271
"R1.44,R2.54,R3.73,P1.03",3088,2953
"R1.51,R2.23,R3.81,P1.03",4273,4061
"R1.53,R2.22,R3.95,P1.02",2819,2744
"R1.05,R2.34,R3.52,P1.03",6373,5999
"R1.33,R2.70,R3.31,P1.03",3109,3014
"R1.11,R2.69,R3.04,P1.02",4147,3986
"R1.63,R2.53,R3.88,P1.03",6528,6051
"R1.68,R2.72,R3.56,P1.02",3799,3655
"R1.69,R2.26,R3.04,P1.03",1942,1899
"R1.17,R2.22,R3.21,P1.03",2942,2811
"R1.17,R2.88,R3.03,P1.02",2883,2789
"R1.01,R2.31,R3.29,P1.03",5564,5209
"R1.30,R2.10,R3.59,P1.02",2256,2194
"R1.33,R2.44,R3.46,P1.02",1851,1795
"R1.95,R2.06,R3.49,P1.03",3959,3807
"R1.24,R2.33,R3.53,P1.02",5419,5160
"R1.58,R2.40,R3.56,P1.03",3344,3210
"R1.15,R2.85,R3.28,P1.02",1883,1841
"R1.41,R2.11,R3.30,P1.02",1823,1786
"R1.46,R2.52,R3.67,P1.02",1833,1786
"R1.67,R2.50,R3.66,P1.02",1334,1317
"R1.12,R2.10,R3.24,P1.03",2955,2850
"R1.39,R2.91,R3.56,P1.03",2515,2430
"R1.89,R2.26,R3.17,P1.03",2251,2191
