cell,nCounts,nFeatures
"R1.08,R2.62,R3.64,P1.50",1431,1125
"R1.08,R2.65,R3.42,P1.51",880,751
"R1.08,R2.65,R3.52,P1.50",3771,2355
"R1.08,R2.66,R3.42,P1.50",1517,1166
"R1.08,R2.70,R3.15,P1.51",2435,1770
"R1.08,R2.72,R3.83,P1.50",3130,2062
"R1.08,R2.73,R3.16,P1.50",9428,4267
"R1.08,R2.74,R3.82,P1.50",11181,4501
"R1.08,R2.76,R3.13,P1.50",2509,1781
"R1.08,R2.76,R3.48,P1.50",4154,2511
"R1.08,R2.77,R3.30,P1.51",791,670
"R1.08,R2.79,R3.32,P1.50",11160,4579
"R1.08,R2.81,R3.44,P1.50",5978,3246
"R1.08,R2.82,R3.65,P1.50",3736,1964
"R1.08,R2.83,R3.01,P1.51",1049,871
"R1.08,R2.85,R3.14,P1.50",3580,2176
"R1.08,R2.85,R3.68,P1.50",2371,1588
"R1.08,R2.86,R3.63,P1.50",5994,3286
"R1.08,R2.90,R3.40,P1.50",2235,1510
"R1.08,R2.93,R3.51,P1.50",1652,1298
"R1.08,R2.94,R3.12,P1.50",3149,1954
"R1.09,R2.03,R3.77,P1.51",1782,1385
"R1.09,R2.07,R3.25,P1.50",4656,2717
"R1.09,R2.07,R3.57,P1.51",917,762
"R1.09,R2.12,R3.83,P1.51",975,810
"R1.09,R2.13,R3.31,P1.50",1859,1387
"R1.09,R2.15,R3.36,P1.51",1646,1308
"R1.09,R2.15,R3.52,P1.50",5381,3003
"R1.09,R2.15,R3.77,P1.50",4673,2649
"R1.09,R2.16,R3.21,P1.50",17449,5780
"R1.09,R2.17,R3.12,P1.50",895,702
"R1.09,R2.18,R3.40,P1.51",716,636
"R1.09,R2.19,R3.48,P1.51",759,668
"R1.09,R2.21,R3.40,P1.50",4590,2699
"R1.09,R2.22,R3.51,P1.51",2763,1928
"R1.09,R2.23,R3.18,P1.50",5575,3008
"R1.09,R2.23,R3.26,P1.50",4067,2499
"R1.09,R2.24,R3.04,P1.50",2695,1777
"R1.09,R2.25,R3.24,P1.50",2974,2021
"R1.09,R2.28,R3.39,P1.50",3910,2479
"R1.09,R2.28,R3.44,P1.50",1450,1149
"R1.09,R2.28,R3.87,P1.51",257,245
"R1.09,R2.30,R3.34,P1.50",4835,2700
"R1.09,R2.31,R3.83,P1.51",1679,1295
"R1.09,R2.33,R3.13,P1.50",5824,3112
"R1.09,R2.34,R3.11,P1.51",3337,2164
"R1.09,R2.36,R3.22,P1.50",1430,1135
"R1.09,R2.37,R3.80,P1.50",2400,1576
"R1.09,R2.39,R3.14,P1.51",4133,2641
"R1.09,R2.40,R3.39,P1.51",1877,1441
"R1.09,R2.40,R3.45,P1.50",5085,2915
"R1.09,R2.43,R3.52,P1.51",3084,2104
"R1.09,R2.43,R3.59,P1.50",4689,2692
"R1.09,R2.46,R3.82,P1.50",1354,1091
