cell,nCounts,nFeatures
"R1.66,R2.75,R3.02,P1.42",217,200
"R1.66,R2.75,R3.84,P1.40",372,311
"R1.66,R2.76,R3.60,P1.40",130,115
"R1.66,R2.77,R3.16,P1.41",135,118
"R1.66,R2.77,R3.35,P1.43",215,185
"R1.66,R2.77,R3.68,P1.42",278,239
"R1.66,R2.77,R3.89,P1.40",214,185
"R1.66,R2.78,R3.94,P1.41",201,178
"R1.66,R2.79,R3.39,P1.44",156,139
"R1.66,R2.79,R3.87,P1.39",350,298
"R1.66,R2.80,R3.23,P1.45",158,133
"R1.66,R2.80,R3.32,P1.45",201,170
"R1.66,R2.80,R3.56,P1.45",178,141
"R1.66,R2.80,R3.59,P1.40",130,123
"R1.66,R2.80,R3.61,P1.42",164,153
"R1.66,R2.80,R3.70,P1.43",351,301
"R1.66,R2.81,R3.08,P1.43",254,210
"R1.66,R2.82,R3.28,P1.39",304,248
"R1.66,R2.82,R3.67,P1.43",200,171
"R1.66,R2.82,R3.86,P1.40",303,247
"R1.66,R2.83,R3.08,P1.44",380,326
"R1.66,R2.84,R3.11,P1.44",259,223
"R1.66,R2.84,R3.23,P1.41",152,131
"R1.66,R2.84,R3.72,P1.42",216,199
"R1.66,R2.84,R3.80,P1.40",411,323
"R1.66,R2.84,R3.80,P1.45",244,212
"R1.66,R2.85,R3.05,P1.45",135,114
"R1.66,R2.85,R3.11,P1.43",240,222
"R1.66,R2.85,R3.15,P1.39",155,142
